subscription_id,customer_id,plan_tier,start_date,monthly_price,billing_status
SUB001,C001,enterprise,2025-08-25 10:00:00,499.0,active
SUB002,C002,pro,2025-10-24 10:00:00,199.0,active
SUB003,C003,starter,2025-11-23 10:00:00,49.0,active
SUB004,C004,enterprise,2025-08-05 10:00:00,499.0,active
SUB005,C005,enterprise,2025-09-24 10:00:00,299.0,active
SUB006,C006,pro,2025-11-13 10:00:00,199.0,active
SUB007,C007,enterprise,2025-12-23 10:00:00,499.0,active
SUB008,C008,starter,2026-01-07 10:00:00,49.0,active
SUB009,C009,pro,2025-12-03 10:00:00,199.0,active
SUB010,C010,starter,2025-04-27 10:00:00,49.0,cancelled
